UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
ThamesValleyChamber,@TValleyChamber,2020-07-07T13:40:12.000Z,"As part of our one-to-one 20 min interviews with business leaders across the #ThamesValley our CEO sat down with Richard Baker, Managing Partner, Thames Valley & South East 
@EYnews
 to share thought leadership & best practice from the business community https://youtu.be/v39dSfjiano",,,
EY Singapore,@EY_Singapore,2020-07-06T04:40:38.000Z,"At our 
@EY_Tax
 webcast, find out more about the latest tax controversy trends in Asean, including transfer pricing. We will also share how authorities across Asean are approaching tax audits, particularly with the digitalization of tax administrations. http://spr.ly/6014Gr8Hn",,,
Don von Ribbentrop,@AgentOrangeDDR,2020-07-05T20:58:01.000Z,"#Greece's Prime Minister not happy with #EuropeanUnion coronavirus fund terms (other PMs unhappy for other reasons).

€1.9 billion (!) auditors 
@EYnews
 failed to notice missing from #fintech giant 
@wirecard
, had been missing for years.

#Spain wisely extends #COVID19 #furlough.",,,
Nathaniel L. Peat,@nathanielpeat,2020-07-02T20:06:33.000Z,"#Throwback Thursday to the birth of the 
@EY_Foundation
 when we all came together, we sat down & carved out the plan of this gr8 youth organisation helping young people into the world of work. Happy 6th Birthday you have grown so much 
 @EY_Foundation
 @EY_UKI
 #ForwardTogethermartin cook and 7 others",3,6,35
Brett Russell,@brettarussell,2020-05-04T17:26:23.000Z,"Sorry 
@ey
 this is 
@EYCanada
 and 
@EYnewsQuote Tweet
Brett Russell
@brettarussell
 · May 4
Replying to @CoinDesk @jwolpert and 3 others
Good stuff Anna. No doubt respected industry heavyweights are represented here but the theme of this story is bullshit. ~Private Enterprise Blockchain Vulnerable~. Both Priv & Pub chains ""might face new challenges in production.."" #blockchain evolves daily. Tomorrow's another day",,,
Steve Varley,@SteveVarleyEY,2020-05-01T18:25:29.000Z,"All down to our people in 
@EY_UKI
 !! 
@EYnewsQuote Tweet
Carmine Di Sibio
@Carmine_DiSibio
 · May 1
Great news! Congratulations to @SteveVarleyEY and all our people in the UK - going above and beyond to create a diverse & inclusive workplace where all our people feel they belong. #BetterWorkingWorld twitter.com/EY_UKI/status/…",1,3,34
Peter Livingstone,@fw_livingstone,2020-04-30T19:09:02.000Z,"Once a niche concept, captive #insurance is an increasingly popular form of #risk mitigation. However, it's not without challenges. We sit down with Jenny Coletta 
@EYnews
 to explore the growing appetite for captive insurance, its benefits & much more: https://bit.ly/2wmKf0c",,,
James Spavin,@FWJamesSpavin,2020-04-30T16:09:02.000Z,"Once a niche concept, captive #insurance is an increasingly popular form of #risk mitigation. However, it's not without challenges. We sit down with Jenny Coletta 
@EYnews
 to explore the growing appetite for captive insurance, its benefits & much more: https://bit.ly/2wmKf0c",,,
Peter Bailey,@FWPeterBailey,2020-04-30T15:09:02.000Z,"Once a niche concept, captive #insurance is an increasingly popular form of #risk mitigation. However, it's not without challenges. We sit down with Jenny Coletta 
@EYnews
 to explore the growing appetite for captive insurance, its benefits & much more: https://bit.ly/2wmKf0c",,,
Financier Worldwide,@FWWMagazine,2020-04-23T13:09:02.000Z,"Once a niche concept, captive #insurance is an increasingly popular form of #risk mitigation. However, it's not without challenges. We sit down with Jenny Coletta 
@EYnews
 to explore the growing appetite for captive insurance, its benefits & much more: https://bit.ly/2wmKf0c",,,
